;img;race;mean;asm;contrast;correlation;variance;idm;entropy;class
0;Basset Hound.102.3.jpg;Basset Hound;[97.979995716284193, 97.942117034132878];0.00027236395473341247;1013.9167753720611;0.9041002293115186;4779.326744396282;0.13388139895000833;13.382064592507978;3
1;Basset Hound.118.3.jpg;Basset Hound;[104.8754425594384, 104.73439834524245];0.0003025922930397876;794.0607114765096;0.9137419829160174;4205.482613479694;0.16966960564646638;13.237552137883503;3
2;Basset Hound.120.3.jpg;Basset Hound;[113.44570269411933, 113.44293590145824];0.00028707232166712304;1244.9327473642852;0.8693049370713088;4140.271783170667;0.1481471014787036;13.296271093807178;3
3;Basset Hound.129.3.jpg;Basset Hound;[120.48270411107983, 120.45875767603837];0.0003368180235924703;1035.0463419346897;0.9116153177175532;5337.811300851115;0.13678524630064962;13.306062474076208;3
4;Basset Hound.149.3.jpg;Basset Hound;[121.12577865699888, 121.15829378331954];0.00026820951762452386;646.730297140601;0.9428313628870943;5332.904677032633;0.18013835034904038;13.024591778033232;3
5;Basset Hound.151.3.jpg;Basset Hound;[121.12577865699888, 121.15829378331954];0.00026820951762452386;646.730297140601;0.9428313628870943;5332.904677032633;0.18013835034904038;13.024591778033232;3
6;Basset Hound.153.3.jpg;Basset Hound;[94.257728564280555, 94.257931075065898];0.00031585181000057336;2115.7080331072507;0.8299532617389447;5163.106334316301;0.12183970019269652;13.588446425981303;3
7;Basset Hound.169.3.jpg;Basset Hound;[98.735055061783143, 98.746854353081886];0.00043738339816455743;1095.0196214556952;0.9206318165118856;6350.842686141075;0.15854681835328355;13.022726031791535;3
8;Basset Hound.190.3.jpg;Basset Hound;[100.99289646164178, 100.99066290162872];0.000340192331173986;844.9670999307829;0.9149977764683267;4547.781064931844;0.15664534891719945;13.124706777893634;3
9;Basset Hound.2.3.jpg;Basset Hound;[98.450903919311401, 98.446719646510317];0.0003499664985527306;1086.4937584202007;0.8945736613950048;4609.610237802173;0.16023036146689654;13.171096112384346;3
10;Basset Hound.203.3.jpg;Basset Hound;[123.05716455517553, 123.06418328584509];0.00035073425336467197;1491.2468699716921;0.893947086403235;6285.0497445677565;0.14471993746420728;13.339795578588898;3
11;Basset Hound.22.3.jpg;Basset Hound;[105.93406859572804, 105.93266303106002];0.000306647008988428;1028.371861369609;0.9022556215125483;4746.3306926098385;0.1597084036122404;13.223610471968797;3
12;Basset Hound.29.3.jpg;Basset Hound;[140.10249455783389, 140.10826302005719];0.00033406875854905834;806.1691726531628;0.9420069078459204;6547.477206402688;0.18394050090932937;12.859039500753127;3
13;Basset Hound.38.3.jpg;Basset Hound;[118.33000391479233, 118.34506403705205];0.0002614099223391534;1561.1237276577167;0.8802129440023504;5735.679989328982;0.10704047824545551;13.80040199974376;3
14;Basset Hound.40.3.jpg;Basset Hound;[108.2686138230234, 108.27315768884145];0.00043093049362827546;1257.873588337414;0.8895664593030109;5066.223988881308;0.19296813490854486;12.92391328479819;3
15;Basset Hound.42.3.jpg;Basset Hound;[124.54981921842366, 124.51817489332957];0.0003867421560658595;877.9895641419998;0.931948412873855;6011.891245081035;0.15569269200289126;12.855525231237934;3
16;Basset Hound.47.3.jpg;Basset Hound;[93.658098881859473, 93.684507968705233];0.00026426354270200355;982.8935518990463;0.8934166558917477;4119.45694946255;0.11274182585264249;13.52049933399017;3
17;Basset Hound.7.3.jpg;Basset Hound;[99.3252563035159, 99.313407460871176];0.0003363505131648994;1041.3967208159254;0.9103855636010928;5289.6554782586145;0.1627034071233593;13.188304030101152;3
18;Basset Hound.74.3.jpg;Basset Hound;[107.41341282919953, 107.41118914489805];0.00031436148875067853;853.0133952809671;0.9166431547938796;4690.129966374468;0.15723282839490932;13.194082911401514;3
19;Basset Hound.81.3.jpg;Basset Hound;[96.714431170440633, 96.713712978955911];0.0003055769325628095;1247.0860457083882;0.8705574835967584;4193.585529662914;0.15746984736638886;13.112718420588228;3
20;Havanese.102.11.jpg;Havanese;[95.151768308811754, 95.146934944941719];0.00039393664685838327;770.7228615200167;0.9439078700243811;6484.784543405166;0.13964922279458833;12.65957086562768;11
21;Havanese.103.11.jpg;Havanese;[88.07847084984644, 88.141109952788511];0.00032055631261050107;460.0684288682946;0.9574749767823952;5178.788015309055;0.1447555022298149;13.037902465391618;11
22;Havanese.112.11.jpg;Havanese;[116.96246442642793, 117.02651256156788];0.00045446193175949744;631.9562285645012;0.9510502149330955;6139.071874073578;0.16708894164229768;12.930998533188415;11
23;Havanese.115.11.jpg;Havanese;[91.584939681962595, 91.658345482076442];0.00032406761497545797;550.4271509276348;0.9513662315841472;5383.083925062937;0.13599715186768443;13.155334612595096;11
24;Havanese.135.11.jpg;Havanese;[87.260676716642095, 87.328741699719245];0.000391646625564024;375.65145000830535;0.9633100478597528;4929.502122870689;0.19209730628832855;12.69731317344582;11
